sprint,var_ga,var_random,var_best,knowledge_ga,knowledge_random,knowledge_best,tf_ga,tf_random,tf_best
1,60.16,71,70,710.63,836,1958,2,2,2
2,73.69,119,183,1467.46,1559,5636,3,2,2
3,95.08,171,371,2090.87,2871,13596,3,2,2
4,101.79,224,620,2929.41,4350,25078,3,2,2
5,105.11,257,774,4188.33,5617,36495,3,3,2
6,110.08,300,887,5392.76,6564,49016,3,3,2
7,125.22,354,1050,6428.61,7661,67281,3,2,2
8,131.61,386,1271,7498.52,8873,86630,3,3,2
9,138.27,404,1501,9560.61,10973,110915,3,3,2
10,159.7,440,1641,10975.53,12351,136647,3,3,2
11,159.04,468,1722,12405.29,14111,164982,3,3,2
12,152.5,474,1755,13197.09,14958,189431,3,3,2
13,151.88,485,1780,15137.24,17037,221550,3,2,2
14,144.3,472,1779,16817.39,18973,249844,3,2,2
15,148.91,489,1918,18998.9,20841,291591,3,3,2
16,142.53,490,2015,19810.06,21603,318736,3,3,2
17,151.35,512,2145,19696.94,21299,354352,3,2,2
18,153.31,515,2139,23291.88,24499,402746,3,2,2
19,166.5,527,2231,25464.35,27310,447602,3,3,2
20,156.7,534,2287,25759.46,28598,487291,3,3,2
21,148.94,522,2180,24779.28,28419,511808,3,3,2
22,166.58,543,2219,24551.72,27790,552661,3,3,2
23,170.35,523,2345,29970.91,32033,616892,3,3,2
24,173.07,519,2401,28368.31,31707,654959,3,3,1
25,167.78,507,2425,30250.83,32780,699703,3,3,2
26,167.5,517,2487,31538.58,33421,749211,3,3,1
27,166.99,517,2489,31131.45,33647,788550,3,3,2
28,181.49,555,2601,32970.93,34503,863800,3,3,1
29,183.47,560,2541,33026.24,34488,914582,3,2,2
30,201.63,589,2553,38674.57,39013,1004472,3,2,1